,error_rate,cultivation_distance,shots,errors,discards,gap,attempts_per_kept_shot,low_10,best_estimate,high_10,low_100,high_100,low_1000,high_1000,keep_rate,expected_volume,t_gate_cultivation_error_rate
4157,0.0013,3,5000000000,61241,3362184004,42,3.052845989479705,3.707021432705558e-05,3.739186828652759e-05,3.771688037659146e-05,3.69345702739125e-05,3.785231073051505e-05,3.6832898290975054e-05,3.7956296770714896e-05,0.3275631992,9840.368798283493,7.478373657305519e-05
4158,0.0013,3,5000000000,46945,3440943113,43,3.2070670648888684,2.9814794051193592e-05,3.0111152704846747e-05,3.040984610332567e-05,2.9691046161293796e-05,3.053508207234519e-05,2.959691874283738e-05,3.0631332569200855e-05,0.3118113774,10291.606603445254,6.0222305409693494e-05
4159,0.0013,3,5000000000,35968,3515256816,44,3.3675857536483083,2.3952438632646383e-05,2.422506490523145e-05,2.4499556820326176e-05,2.38391463125922e-05,2.4614829280805777e-05,2.375320552406052e-05,2.470303308696651e-05,0.29694863680000005,10761.270691963653,4.84501298104629e-05
4160,0.0013,3,5000000000,20865,3561286439,45,3.4753269376108604,1.4288417484375124e-05,1.450253932791004e-05,1.4718558699955148e-05,1.4200297094440191e-05,1.4809049262864352e-05,1.4132632478884378e-05,1.487875042000803e-05,0.28774271220000003,11076.512271359621,2.900507865582008e-05
4161,0.0013,3,5000000000,17079,3612233765,46,3.602912268429831,1.2105705972879502e-05,1.230682774177742e-05,1.2510255374529991e-05,1.2023249722601875e-05,1.2594945430416816e-05,1.1959888907370629e-05,1.2660359905643618e-05,0.27755324699999995,11449.816143840684,2.461365548355484e-05
4162,0.0013,3,5000000000,14576,3641978338,47,3.6818263902158193,1.0543535792288416e-05,1.0733260306417704e-05,1.0925142370814404e-05,1.0465967073800625e-05,1.1005185276639571e-05,1.0406041667397202e-05,1.1067216687740877e-05,0.27160433240000004,11680.712180786995,2.1466520612835408e-05
4163,0.0013,3,5000000000,13330,3659222750,48,3.7291802150891504,9.758011630940188e-06,9.941994466269472e-06,1.0128274476614218e-05,9.682794065904684e-06,1.0205669882898148e-05,9.625088731181858e-06,1.0265799184763912e-05,0.26815544999999996,11819.265461880414,1.9883988932538943e-05
4164,0.0013,3,5000000000,11156,3712815147,49,3.8844459531805167,8.491732927500508e-06,8.666975822469532e-06,8.844495002770204e-06,8.42027465964906e-06,8.918361627115883e-06,8.365317518229061e-06,8.975820351733118e-06,0.25743697060000004,12273.559861820404,1.7333951644939065e-05
4165,0.0013,3,5000000000,10150,3734824244,50,3.95202008051754,7.852782471433952e-06,8.022600774528279e-06,8.194821905834875e-06,7.783234821960974e-06,8.26681980776116e-06,7.730103863925133e-06,8.322345689969101e-06,0.2530351512,12471.276035460167,1.6045201549056558e-05
4166,0.0013,3,5000000000,8997,3765831962,51,4.051312170585782,7.126063655198953e-06,7.289931130107584e-06,7.456172673951552e-06,7.059022541304866e-06,7.525733704019323e-06,7.007830160644624e-06,7.579527027096775e-06,0.24683360759999995,12761.796281831763,1.4579862260215167e-05
4167,0.0013,3,5000000000,8048,3798368667,52,4.161009999793323,6.538419716790125e-06,6.697561705475268e-06,6.859158690063885e-06,6.473308232218009e-06,6.9268832889196966e-06,6.423775569107934e-06,6.979045710353493e-06,0.2403262666,13082.762839677052,1.3395123410950536e-05
4168,0.0013,3,5000000000,7369,3827401276,53,4.264033287888801,6.128601245177545e-06,6.28433226915229e-06,6.442604656970444e-06,6.06471749836221e-06,6.509115048295072e-06,6.016073406540735e-06,6.5603431442928976e-06,0.23451974480000004,13384.200255527483,1.256866453830458e-05
4169,0.0013,3,5000000000,6621,3867347625,54,4.414417082002911,5.692717503020289e-06,5.845571109141055e-06,6.001055707846814e-06,5.630200528207077e-06,6.066353765426042e-06,5.582524823646796e-06,6.116801723918162e-06,0.226530475,13824.210501037445,1.169114221828211e-05
4170,0.0013,3,5000000000,6101,3885541469,55,4.486483662645167,5.325357413411015e-06,5.474407373889087e-06,5.6261402516017e-06,5.264359181436424e-06,5.689866265647528e-06,5.217924075454002e-06,5.739154775243943e-06,0.22289170619999998,14035.071212665873,1.0948814747778175e-05
4171,0.0013,3,5000000000,5380,3925512810,56,4.653382597975165,4.862161269693685e-06,5.007039683739738e-06,5.15481250176654e-06,4.802728267053608e-06,5.217009613674408e-06,4.757581149013047e-06,5.2650511356957165e-06,0.21489743800000005,14523.403362789273,1.0014079367479476e-05
4172,0.0013,3,5000000000,4914,3959980334,57,4.807601389515261,4.581788360144335e-06,4.724910653756811e-06,4.870965584221942e-06,4.523366387958283e-06,4.932339423666244e-06,4.478819153406278e-06,4.979857755882089e-06,0.2080039332,14974.634486121344,9.449821307513622e-06
4173,0.0013,3,5000000000,4568,3987169040,58,4.93665793068439,4.368428863983383e-06,4.510130693477221e-06,4.654863630945879e-06,4.310679839407753e-06,4.715643763496329e-06,4.266644850587901e-06,4.762729606922759e-06,0.20256619200000003,15352.242995889465,9.020261386954443e-06
4174,0.0013,3,5000000000,4201,4027672187,59,5.14229864029962,4.178991843772343e-06,4.320559325602671e-06,4.465253325012106e-06,4.121367245102142e-06,4.526055864247915e-06,4.077452014632436e-06,4.573128466088628e-06,0.19446556260000003,15953.93029676093,8.641118651205342e-06
4175,0.0013,3,5000000000,3723,4081438929,60,5.443296203125734,3.912162308476493e-06,4.053078360861648e-06,4.197303937344847e-06,3.854822626159388e-06,4.257996690129708e-06,3.811145617339144e-06,4.305004996232852e-06,0.18371221419999995,16834.62367464951,8.106156721723296e-06
4176,0.0013,3,5000000000,3323,4116945651,61,5.66216563605381,3.624793880042371e-06,3.76307528949161e-06,3.904833268648564e-06,3.568523277835077e-06,3.9645917648948695e-06,3.525649359550349e-06,4.010908279893427e-06,0.17661086979999996,17475.01709987275,7.52615057898322e-06
4177,0.0013,3,5000000000,2949,4170265395,62,6.026023211298935,3.4154776514353043e-06,3.554148497880235e-06,3.6965675307708784e-06,3.3591825424709147e-06,3.7565385139022855e-06,3.3163495693903234e-06,3.8030835172892426e-06,0.16594692099999997,18539.633551067815,7.10829699576047e-06
4178,0.0013,3,5000000000,2664,4223721414,63,6.440986622962219,3.2910994146629726e-06,3.431757680869481e-06,3.576383594845163e-06,3.2339678631815305e-06,3.637457030149225e-06,3.190529849293047e-06,3.684824045887052e-06,0.15525571719999998,19753.781352005506,6.863515361738962e-06
4179,0.0013,3,5000000000,2312,4268946573,64,6.839445384777752,3.023499950024857e-06,3.162559553940782e-06,3.305777540661197e-06,2.967129241020575e-06,3.3664160635964027e-06,2.9243279916941013e-06,3.4133893746181697e-06,0.14621068540000004,20919.637945580682,6.325119107881564e-06
4180,0.0013,3,5000000000,2120,4308647538,65,7.232201028215327,2.9257580050391143e-06,3.0664532442208905e-06,3.2115890548459494e-06,2.8687537963812157e-06,3.273019370545035e-06,2.8255341629202157e-06,3.3206940398514124e-06,0.1382704924,22068.807698114484,6.132906488441781e-06
4181,0.000649,3,5000000000,3498796,1655348001,1,1.4949238364723971,0.0010444898216748,0.0010460867082871,0.0010475839193577,0.001044168057258,0.0010480007041234,0.0010439000981399,0.0010483660635092,0.6689303998,7131.342305402747,0.0020921734165742
4182,0.000649,3,5000000000,2892937,1656709103,2,1.4955324415519848,0.0008640635077827,0.0008652962273177,0.0008664705134092,0.0008635779891575,0.0008669550659204,0.0008633505515748,0.0008672254551949,0.6686581793999999,7133.87591791794,0.0017305924546354
4183,0.000649,3,5000000000,2693197,1657294466,3,1.4957943340062123,0.0008043660539797,0.0008056937629134,0.0008070995792356,0.0008039689265671,0.0008073700188513,0.0008037020948073,0.0008077224279965,0.6685411068,7134.966171716206,0.0016113875258268
